,0
0,1.4092843230173457e-06
1,0.3631434440612793
2,1.9033628859688179e-06
3,0.00011681302567012608
4,5.125124062033137e-06
5,5.653598236676771e-06
6,3.4442930427758256e-06
7,0.558431088924408
8,9.529851922707167e-06
9,1.2408033398969565e-05
10,3.2672360248398036e-05
11,8.096513738564681e-06
12,2.8573206023452258e-09
13,0.004038464277982712
14,0.19770440459251404
15,0.5671930909156799
16,5.448708861877094e-07
17,0.7009804248809814
18,0.8582960367202759
19,0.014201252721250057
20,0.44038140773773193
21,1.9747318447116413e-08
22,2.9812764523740043e-07
23,0.0007519233622588217
24,0.01590321771800518
25,1.803032091629575e-06
26,0.007602908182889223
27,1.1739558658518945e-06
28,8.520531764588668e-07
29,5.077450282442442e-07
30,0.0026800958439707756
31,0.020269088447093964
32,1.314405918121338
33,2.0945746898651123
34,2.8616390228271484
35,2.5664095878601074
36,2.207456111907959
37,2.0090508460998535
38,1.9213433265686035
39,1.8368110656738281
40,1.7885819673538208
41,1.7844042778015137
42,0.7343963384628296
43,0.001109036966226995
44,0.0011286056833341718
45,0.01178082823753357
46,0.19571608304977417
47,0.12483453005552292
48,0.00135550566483289
49,0.0013813317054882646
50,0.009176395833492279
51,0.001476507750339806
52,0.027946708723902702
53,0.10915767401456833
54,0.0015356972580775619
55,0.000978947849944234
56,0.0008367378613911569
57,0.0461401492357254
58,0.0003393059887457639
59,0.0004857474996242672
60,0.00037488850648514926
61,0.0002803756215143949
62,0.14263106882572174
63,0.00012873037485405803
64,8.35490645840764e-05
65,5.0725662731565535e-05
66,0.18309083580970764
67,1.0891949386859778e-05
68,3.4394754493405344e-06
69,0.23585587739944458
70,2.296658931300044e-05
71,0.05450333282351494
72,3.0595349471695954e-06
73,5.176913873583544e-06
74,0.038962166756391525
75,1.0102594387717545e-05
76,1.1625909792201128e-05
77,0.027157701551914215
78,1.499098942758792e-07
79,0.22651928663253784
80,0.0007829039823263884
81,0.0951283648610115
82,0.049134720116853714
83,0.08043256402015686
84,0.005473083816468716
85,0.05009908601641655
86,1.5146837313295691e-06
87,3.8714196648470534e-07
88,3.1959913826540287e-07
89,1.6440619674540358e-06
90,5.779635102953762e-06
91,1.5137852642510552e-06
92,4.3544613959056733e-07
93,0.00048385438276454806
94,0.00035466693225316703
95,7.405610813293606e-05
96,0.0006938062724657357
97,1.5330731129026276e-10
98,0.028026126325130463
99,0.009334192611277103
100,0.6966615319252014
101,4.595387181893784e-08
102,2.292171302542556e-06
103,5.171992825125926e-07
104,4.515192699727777e-07
105,0.3731862008571625
106,0.00011958819959545508
107,0.01583714596927166
108,0.009729960933327675
109,2.4210109472733166e-07
110,2.4823209969326854e-05
111,0.056119583547115326
112,3.5676712286658585e-06
113,2.447105543978978e-06
114,5.0311176892137155e-05
115,0.03532099351286888
116,8.03769853519043e-06
117,7.515461675211554e-06
118,9.75531838776078e-06
119,1.1239273590035737e-05
120,9.96132985164877e-06
121,0.2774870693683624
122,1.1453933268512628e-07
123,7.99879398982739e-06
124,5.209308710618643e-06
125,1.912432935569086e-06
126,1.6166232824325562
127,2.604139566421509
128,4.281122207641602
129,5.180387496948242
130,5.351517200469971
131,5.900332927703857
132,5.37299919128418
133,1.1604186296463013
134,0.5971726775169373
